# quest_id,title,description,objectives_text,reward_text,reward_xp,reward_gold,reward_item1,reward_item2,prev_quest,min_level,kill_obj1_display,kill_obj1_count,kill_obj2_display,kill_obj2_count,kill_obj3_display,kill_obj3_count,kill_obj4_display,kill_obj4_count,creature_entry,poi_x,poi_y
1,Kanrethad's Quest,"Welcome back from the world of death.

In an age long past you stood proud, a hero among your brethren. Now you stand fallen and broken - a relic of the past. Stand before me, as I awaken the legend that you once were.

I shall restore the weapons and powers you have lost, making you whole once again.",Return to Kanrethad.,,1200,296000,34661,38539,0,1,30404,1,0,0,0,0,0,0,0,2148.0,-5252.0
2,Sharptalon's Claw,"The mighty hippogryph Sharptalon has been slain, with the claw of the felled beast serving as a testament to your victory. Senani Thunderheart at the Splintertree Post will no doubt be interested in seeing this trophy as proof of your deeds.",,"Most impressive, $N... the claw of Sharptalon could not have been easy to get! The Ashenvale Hunt goes well for you!

Sharptalon had long terrorized the peons from the lumber camps near its path as they tried to travel here to Splintertree Post. No doubt once the word gets out that it was you who put down the beast, many rousing songs of your bravery will be heard at campfires and lumber mills across Ashenvale!",850,0,0,0,6383,20,0,0,0,0,0,0,0,0,0,2148.0,-2816.0
5,Jitters' Growling Gut,"I've been stuck hiding in this ghost town for weeks, and I haven't eaten anything but grubs and weeds! I need some decent food, and I'm willing to trade well for it.

Bring me a feast and I'll pay you handsomely.

I heard Chef Grual at the Scarlet Raven Tavern in Darkshire makes very good Dusky Crab Cakes...",,"You need some Crab Cakes, do you? Well I might be able to cook some up for you...",340,0,0,0,163,17,0,0,0,0,0,0,0,0,288,-10499.0,-1158.0
6,Bounty on Garrick Padfoot,"Garrick Padfoot - a cutthroat who's plagued our farmers and merchants for weeks - was seen at a shack near the vineyards, which lies east of the Abbey and across the bridge. Bring me the villain's head, and earn his bounty!

But be wary, $N. Garrick has gathered a gang of thugs around him. He will not be an easy man to reach.",Return to Deputy Willem at Northshire Valley in Elwynn Forest.,"Hah - you caught him! You've done Elwynn a great service, and earned a nice bounty!",680,0,0,0,18,2,0,0,0,0,0,0,0,0,823,-9056.0,-461.0
7,Kobold Camp Cleanup,"Your first task is one of cleansing, $N. A clan of kobolds have infested the woods to the north. Go there and fight the kobold vermin you find. Reduce their numbers so that we may one day drive them from Northshire.",Return to Marshal McBride at Northshire Abbey in Elwynn Forest.,"Well done, citizen. Those kobolds are thieves and cowards, but in large numbers they pose a threat to us. And the humans of Stormwind do not need another threat.

For defeating them, you have my gratitude.",850,25,0,0,783,1,10913,8,0,0,0,0,0,0,197,-8797.0,-259.0
8,A Rogue's Deal,"Hey, mate! Do a favor for a young man who's been fighting more than his fair share of mindless zombies and spiders?

I got this here letter that needs to go to Brill... to an innkeeper named Renee something-or-other. Don't really matter none what her last name is.

Anyway, it's a nice cozy little place full of victims of the plague trying to make their way in the world. And it be a great spot for you to rest too if the need arises. You should check it out... you do and I'll pay you well.",,"Oh? A letter? Wonderful news! I've been waiting on word from my dear old mother in Deathknell. Such a saint, she is. I wonder how she's holding up.

What? Too cheery? Not buying it, are you?

Well, get lost then... it's really no business who the letter's from anyway. Go on! Get lost!

Come back when you've got some coin to spend... loafer.

Next thing you know, you'll be coming back to rest after a long days adventure or some stupid thing like that.",340,0,0,0,0,1,0,0,0,0,0,0,0,0,6784,2270.0,245.0
9,The Killing Fields,"Look at what has happened to this place! These lands were once occupied by good farm folk. But the damned thieves have driven them all off. Not me, though! But it seems some Harvest Watchers have taken over the fields.

If you're up for the work, I'd like you to go out and kill twenty of them. Come back when you're done for your pay. If you finish up with the ones in my field, clear them from the neighboring fields as well.",Return to Farmer Saldean at Saldean's Farm in Westfall.,"Good work, friend. You have earned your pay well. Who knows, perhaps Westfall will prosper once again.",850,0,0,0,0,8,378,20,0,0,0,0,0,0,233,-9934.0,1166.0
11,Riverpaw Gnoll Bounty,"Gnolls, brutish creatures with no decent business in these lands, have been seen along the borders of Elwynn Forest. A large pack of them, many more than we can handle alone, have infested the woods south of the guard tower yonder. Another group has infested the areas near Stone Cairn Lake to the east.

The Stormwind Army will commend whomever helps kill them. Bring me their painted gnoll armbands as proof of your deed.",Return to Deputy Rainer at Forest's Edge in Elwynn Forest.,"I see you've been busy! You have our thanks, $N.",850,0,0,0,239,6,0,0,0,0,0,0,0,0,963,-9983.0,549.0
12,The People's Militia,"The People's Militia has but one goal: To defend the lands of Westfall and return peace to our surroundings. Unfortunately, the price of peace is often blood.

One of my scouts has brought word of a band of Defias Trappers wreaking havoc nearby. I have reports of Defias Trapper sightings near the Jangolode Mine to the Northwest as well as at the Molsen Farm and Furlbrow's Pumpkin Farm. If you seek to join our ranks, slay 15 Defias Trappers and 15 Defias Smugglers then return to me.",Return to Gryan Stoutmantle at Sentinel Hill in Westfall.,"Well done, $N. My scout witnessed your valiant acts. You are proving yourself quite well so far.",850,500,0,0,0,9,2331,15,4418,15,0,0,0,0,234,-10179.0,1878.0
13,The People's Militia,"A band of vicious Defias Pillagers has been seen plundering the Gold Coast Quarry, Moonbrook and the Alexston Farmstead. The People's Militia will not stand for such behavior. Dispatch immediately, $n, and make the Light's presence known in Westfall.

The Gold Coast Quarry is near the shore, to the West of the tower. As the next step of your training, I want you to kill 15 of those foul Defias Pillagers and 15 Defias Looters.",Return to Gryan Stoutmantle at Sentinel Hill in Westfall.,Your worth to The People's Militia has been validated by your brave acts thus far.,850,600,0,0,12,9,2338,15,2340,15,0,0,0,0,234,-10727.0,1659.0
